Team,Player Type,Player URL,Draft Class,First Name,Last Name,Position,Shoots,Recruited by,Player Render,Jersey Number,Height,Weight,Birthplace,Strengths,Weakness,Points Available,Screening,Getting Open,Passing,Puckhandling,Shooting Accuracy,Shooting Range,Offensive Read,Checking,Hitting,Stickchecking,Shot Blocking,Faceoffs,Defensive Read,Acceleration,Agility,Balance,Speed,Stamina,Strength,Fighting,Aggression,Bravery,Determination,Team Player,Leadership,Temperament,Professionalism,Blocker,Glove,Poke Check,Positioning,Rebound,Recovery,Low Shots,Reflexes,Skating,Mental Toughness,Goalie Stamina,Listed TPE,Applied TPE,Total TPE,Played Position
Anaheim Outlaws,,https://www.simulationhockey.com/showthread.php?tid=102493,S53,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,391,0,0,RW
Anaheim Outlaws,,https://www.simulationhockey.com/showthread.php?tid=102463,S53,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,0,0,LW
Anaheim Outlaws,,https://www.simulationhockey.com/showthread.php?tid=102359,S53,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,212,0,0,LW
Anaheim Outlaws,,https://www.simulationhockey.com/showthread.php?tid=102360,S53,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,195,0,0,D
Anaheim Outlaws,,https://www.simulationhockey.com/showthread.php?tid=101744,S52,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549,0,0,C
Anaheim Outlaws,,https://www.simulationhockey.com/showthread.php?tid=101535,S52,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,247,0,0,C
Anaheim Outlaws,,https://www.simulationhockey.com/showthread.php?tid=101164,S52,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,665,0,0,RW
Anaheim Outlaws,,https://www.simulationhockey.com/showthread.php?tid=101142,S52,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,8,,15,15,15,,15,,,,,,,,,,,,638,0,0,G
Anaheim Outlaws,,https://www.simulationhockey.com/showthread.php?tid=100045,S51,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,709,0,0,D
Anaheim Outlaws,,https://www.simulationhockey.com/showthread.php?tid=99621,S51,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,273,0,0,RW
Anaheim Outlaws,,https://www.simulationhockey.com/showthread.php?tid=98229,S50,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,183,0,0,D
Anchorage Armada,Prospect,https://www.simulationhockey.com/showthread.php?tid=105492,S54,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,234,0,0,D
Anchorage Armada,,https://www.simulationhockey.com/showthread.php?tid=102713,S53,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,298,0,0,LW
Anchorage Armada,Prospect,https://www.simulationhockey.com/showthread.php?tid=104479,S54,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,191,0,0,C
Anchorage Armada,Prospect,https://www.simulationhockey.com/showthread.php?tid=104386,S54,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,258,0,0,RW
Anchorage Armada,Prospect,https://www.simulationhockey.com/showthread.php?tid=104326,S54,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,285,0,0,D
Anchorage Armada,Prospect,https://www.simulationhockey.com/showthread.php?tid=104297,S54,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,279,0,0,D
Anchorage Armada,Prospect,https://www.simulationhockey.com/showthread.php?tid=104163,S54,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,8,,15,15,15,,15,,,,,,,,,,,,294,0,0,G
Anchorage Armada,Prospect,https://www.simulationhockey.com/showthread.php?tid=103961,S54,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,299,0,0,D
Anchorage Armada,Prospect,https://www.simulationhockey.com/showthread.php?tid=103954,S54,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,219,0,0,RW
Anchorage Armada,,https://www.simulationhockey.com/showthread.php?tid=103196,S53,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,418,0,0,C
Anchorage Armada,,https://www.simulationhockey.com/showthread.php?tid=102418,S53,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,391,0,0,LW
Anchorage Armada,,https://www.simulationhockey.com/showthread.php?tid=102377,S53,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,8,,15,15,15,,15,,,,,,,,,,,,184,0,0,G
Anchorage Armada,,https://www.simulationhockey.com/showthread.php?tid=101849,S53,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,257,0,0,C
Anchorage Armada,,https://www.simulationhockey.com/showthread.php?tid=101822,S52,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,8,,15,15,15,,15,,,,,,,,,,,,290,0,0,G
Anchorage Armada,,https://www.simulationhockey.com/showthread.php?tid=101188,S52,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,462,0,0,D
Anchorage Armada,,https://www.simulationhockey.com/showthread.php?tid=101152,S52,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,362,0,0,
Anchorage Armada,,https://www.simulationhockey.com/showthread.php?tid=101051,S52,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,357,0,0,C
Anchorage Armada,,https://www.simulationhockey.com/showthread.php?tid=100158,S51,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,331,0,0,D
Anchorage Armada,,https://www.simulationhockey.com/showthread.php?tid=99718,S51,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,529,0,0,RW
Anchorage Armada,,https://www.simulationhockey.com/showthread.php?tid=99625,S51,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,804,0,0,C
Anchorage Armada,,https://www.simulationhockey.com/showthread.php?tid=97884,S50,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,314,0,0,RW
Carolina Kraken,Prospect,https://www.simulationhockey.com/showthread.php?tid=105073,S54,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,233,0,0,LW
Carolina Kraken,Prospect,https://www.simulationhockey.com/showthread.php?tid=105055,S54,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,253,0,0,C
Carolina Kraken,Prospect,https://www.simulationhockey.com/showthread.php?tid=104678,S54,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,205,0,0,C
Carolina Kraken,Prospect,https://www.simulationhockey.com/showthread.php?tid=104582,S54,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,257,0,0,D
Carolina Kraken,Prospect,https://www.simulationhockey.com/showthread.php?tid=104574,S54,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,249,0,0,LW
Carolina Kraken,Prospect,https://www.simulationhockey.com/showthread.php?tid=103973,S54,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,259,0,0,LW
Carolina Kraken,Prospect,https://www.simulationhockey.com/showthread.php?tid=103821,S54,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,287,0,0,LW
Carolina Kraken,,https://www.simulationhockey.com/showthread.php?tid=103606,S54,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,243,0,0,LW
Carolina Kraken,,https://www.simulationhockey.com/showthread.php?tid=103578,S54,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,305,0,0,LW
Carolina Kraken,,https://www.simulationhockey.com/showthread.php?tid=103395,S53,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,186,0,0,LW
Carolina Kraken,,https://www.simulationhockey.com/showthread.php?tid=102709,S53,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,325,0,0,D
Carolina Kraken,,https://www.simulationhockey.com/showthread.php?tid=102622,S53,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,360,0,0,D
Carolina Kraken,,https://www.simulationhockey.com/showthread.php?tid=102351,S53,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,479,0,0,RW
Carolina Kraken,,https://www.simulationhockey.com/showthread.php?tid=101931,S53,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,228,0,0,D
Carolina Kraken,,https://www.simulationhockey.com/showthread.php?tid=101926,S53,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,8,,15,15,15,,15,,,,,,,,,,,,485,0,0,G
Carolina Kraken,,https://www.simulationhockey.com/showthread.php?tid=101916,S53,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,501,0,0,D
Carolina Kraken,,https://www.simulationhockey.com/showthread.php?tid=101013,S52,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,662,0,0,C
Colorado Raptors,Prospect,https://www.simulationhockey.com/showthread.php?tid=104802,S54,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,260,0,0,D
Colorado Raptors,Prospect,https://www.simulationhockey.com/showthread.php?tid=104575,S54,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,191,0,0,RW
Colorado Raptors,Prospect,https://www.simulationhockey.com/showthread.php?tid=104091,S54,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,198,0,0,D
Colorado Raptors,Prospect,https://www.simulationhockey.com/showthread.php?tid=104031,S54,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,208,0,0,RW
Colorado Raptors,Prospect,https://www.simulationhockey.com/showthread.php?tid=103999,S54,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,282,0,0,D
Colorado Raptors,Prospect,https://www.simulationhockey.com/showthread.php?tid=103754,S54,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,265,0,0,C
Colorado Raptors,,https://www.simulationhockey.com/showthread.php?tid=103418,S53,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,336,0,0,LW
Colorado Raptors,,https://www.simulationhockey.com/showthread.php?tid=102472,S53,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,456,0,0,LW
Colorado Raptors,,https://www.simulationhockey.com/showthread.php?tid=102439,S53,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,465,0,0,D
Colorado Raptors,,https://www.simulationhockey.com/showthread.php?tid=102387,S53,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,269,0,0,C
Colorado Raptors,,https://www.simulationhockey.com/showthread.php?tid=102392,S53,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,329,0,0,RW
Colorado Raptors,,https://www.simulationhockey.com/showthread.php?tid=102379,S53,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,8,,15,15,15,,15,,,,,,,,,,,,425,0,0,G
Colorado Raptors,,https://www.simulationhockey.com/showthread.php?tid=102190,S53,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,172,0,0,C
Colorado Raptors,,https://www.simulationhockey.com/showthread.php?tid=101980,S53,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,194,0,0,RW
Colorado Raptors,,https://www.simulationhockey.com/showthread.php?tid=101229,S52,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,331,0,0,D
Colorado Raptors,,https://www.simulationhockey.com/showthread.php?tid=100802,S52,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,8,,15,15,15,,15,,,,,,,,,,,,511,0,0,G
Colorado Raptors,,https://www.simulationhockey.com/showthread.php?tid=100670,S52,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,536,0,0,C
Colorado Raptors,,https://www.simulationhockey.com/showthread.php?tid=98748,S50,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,422,0,0,RW
Colorado Raptors,,https://www.simulationhockey.com/showthread.php?tid=98131,S50,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,251,0,0,D
Detroit Falcons,Prospect,https://www.simulationhockey.com/showthread.php?tid=105555,S55,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,160,0,0,C
Detroit Falcons,Prospect,https://www.simulationhockey.com/showthread.php?tid=105535,S55,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,170,0,0,D
Detroit Falcons,Prospect,https://www.simulationhockey.com/showthread.php?tid=105189,S54,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,261,0,0,C
Detroit Falcons,Prospect,https://www.simulationhockey.com/showthread.php?tid=104675,S54,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,8,,15,15,15,,15,,,,,,,,,,,,267,0,0,G
Detroit Falcons,,https://www.simulationhockey.com/showthread.php?tid=103539,S54,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,295,0,0,D
Detroit Falcons,Prospect,https://www.simulationhockey.com/showthread.php?tid=102566,S53,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,270,0,0,D
Detroit Falcons,,https://www.simulationhockey.com/showthread.php?tid=102542,S53,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,451,0,0,RW
Detroit Falcons,,https://www.simulationhockey.com/showthread.php?tid=102508,S53,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,414,0,0,LW
Detroit Falcons,,https://www.simulationhockey.com/showthread.php?tid=102460,S53,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,464,0,0,C
Detroit Falcons,,https://www.simulationhockey.com/showthread.php?tid=102433,S53,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,481,0,0,D
Detroit Falcons,,https://www.simulationhockey.com/showthread.php?tid=102373,S53,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,430,0,0,LW
Detroit Falcons,,https://www.simulationhockey.com/showthread.php?tid=102355,S53,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,481,0,0,C
Detroit Falcons,Prospect,https://www.simulationhockey.com/showthread.php?tid=102333,S53,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,8,,15,15,15,,15,,,,,,,,,,,,375,0,0,G
Detroit Falcons,Prospect,https://www.simulationhockey.com/showthread.php?tid=102274,S53,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,484,0,0,D
Detroit Falcons,Prospect,https://www.simulationhockey.com/showthread.php?tid=101740,S52,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,534,0,0,D
Detroit Falcons,,https://www.simulationhockey.com/showthread.php?tid=101153,S52,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,486,0,0,RW
Detroit Falcons,,https://www.simulationhockey.com/showthread.php?tid=102868,S52,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,433,0,0,C
Detroit Falcons,,https://www.simulationhockey.com/showthread.php?tid=100701,S52,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,680,0,0,RW
Detroit Falcons,Prospect,https://www.simulationhockey.com/showthread.php?tid=100674,S52,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,8,,15,15,15,,15,,,,,,,,,,,,202,0,0,G
Detroit Falcons,,https://www.simulationhockey.com/showthread.php?tid=99966,S51,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,714,0,0,C
Detroit Falcons,,https://www.simulationhockey.com/showthread.php?tid=97945,S50,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,0,0,C
Detroit Falcons,Prospect,https://www.simulationhockey.com/showthread.php?tid=97797,S50,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,370,0,0,D
Halifax Raiders,Prospect,https://www.simulationhockey.com/showthread.php?tid=104166,S54,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,8,,15,15,15,,15,,,,,,,,,,,,217,0,0,G
Halifax Raiders,Prospect,https://www.simulationhockey.com/showthread.php?tid=104008,S54,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,243,0,0,RW
Halifax Raiders,,https://www.simulationhockey.com/showthread.php?tid=103615,S54,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,253,0,0,C
Halifax Raiders,,https://www.simulationhockey.com/showthread.php?tid=103571,S54,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,284,0,0,C
Halifax Raiders,,https://www.simulationhockey.com/showthread.php?tid=103540,S54,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,318,0,0,D
Halifax Raiders,,https://www.simulationhockey.com/showthread.php?tid=103543,S54,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,215,0,0,D
Halifax Raiders,,https://www.simulationhockey.com/showthread.php?tid=103184,S53,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,256,0,0,D
Halifax Raiders,,https://www.simulationhockey.com/showthread.php?tid=103145,S53,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,302,0,0,C
Halifax Raiders,,https://www.simulationhockey.com/showthread.php?tid=103058,S53,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,196,0,0,D
Halifax Raiders,,https://www.simulationhockey.com/showthread.php?tid=102896,S53,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,233,0,0,LW
Halifax Raiders,,https://www.simulationhockey.com/showthread.php?tid=102446,S53,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,440,0,0,D
Halifax Raiders,,https://www.simulationhockey.com/showthread.php?tid=102437,S53,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,338,0,0,RW
Halifax Raiders,,https://www.simulationhockey.com/showthread.php?tid=102402,S53,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,159,0,0,C
Halifax Raiders,,https://www.simulationhockey.com/showthread.php?tid=102095,S53,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,8,,15,15,15,,15,,,,,,,,,,,,Calculation function not available,0,0,G
Halifax Raiders,,https://www.simulationhockey.com/showthread.php?tid=101036,S52,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,8,,15,15,15,,15,,,,,,,,,,,,565,0,0,G
Halifax Raiders,,https://www.simulationhockey.com/showthread.php?tid=100880,S52,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,235,0,0,D
Halifax Raiders,,https://www.simulationhockey.com/showthread.php?tid=100099,S51,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,669,0,0,RW
Halifax Raiders,,https://www.simulationhockey.com/showthread.php?tid=100034,S51,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,542,0,0,LW
Halifax Raiders,,https://www.simulationhockey.com/showthread.php?tid=99350,S51,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,241,0,0,C
Halifax Raiders,,https://www.simulationhockey.com/showthread.php?tid=98280,S50,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,200,0,0,RW
Kelowna Knights,Prospect,https://www.simulationhockey.com/showthread.php?tid=105505,S55,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,170,0,0,D
Kelowna Knights,Prospect,https://www.simulationhockey.com/showthread.php?tid=105236,S54,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,165,0,0,D
Kelowna Knights,Prospect,https://www.simulationhockey.com/showthread.php?tid=105063,S54,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,Calculation function not available,0,0,RW
Kelowna Knights,Prospect,https://www.simulationhockey.com/showthread.php?tid=104937,S54,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,8,,15,15,15,,15,,,,,,,,,,,,170,0,0,G
Kelowna Knights,Prospect,https://www.simulationhockey.com/showthread.php?tid=104316,S54,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,234,0,0,D
Kelowna Knights,Prospect,https://www.simulationhockey.com/showthread.php?tid=104323,S54,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,289,0,0,RW
Kelowna Knights,Prospect,https://www.simulationhockey.com/showthread.php?tid=103933,S54,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,269,0,0,RW
Kelowna Knights,Prospect,https://www.simulationhockey.com/showthread.php?tid=103871,S54,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,15,15,,15,15,,,,,,,,,,,,293,0,0,LW
